(0.07, -0.33, -0.79)
(-0.07, -0.22, -0.27)
(0.06, -0.22, -0.04)
(0.06, -0.21, -0.42)
(-0.06, -0.1, -0.14)
(-0.21, 0.04, 0.02)
(-0.01, 0.05, -0.34)
(0.42, -0.59, -0.61)
(1.23, -1.3800000000000001, -0.8200000000000001)
(1.83, -2.18, 0.6900000000000001)
(2.08, -1.78, 1.95)
(1.84, -0.73, 1.27)
(0.37, 0.8, 1.22)
(-0.74, 0.89, -1.1300000000000001)
(-1.8, 0.75, -1.22)
(-2.43, 1.17, -0.99)
(-2.6, -0.01, -1.08)
(-2.7, -0.35000000000000003, -0.4)
(-1.9000000000000001, -1.9100000000000001, -0.9)
(-2.02, -1.1, -0.6)
(-0.63, -0.88, 0.32)
(0.22, 0.07, -0.33)
(0.38, 1.48, -0.21)
(1.53, 1.84, -0.03)
(1.83, 1.74, -0.23)
(2.39, 1.45, 0.66)
(2.32, 1.3, 0.53)
(1.77, 1.28, 0.97)
(1.42, 0.1, 0.27)
(0.22, 0.14, 0.05)
(-0.79, -0.86, -0.74)
(-2.47, -1.41, -0.64)
(-2.42, -0.34, -0.44)
(-1.37, 1.04, -0.13)
(-0.44, 1.31, -1.93)
(-0.15, 1.24, -1.0)
(0.2, 0.36, -0.67)
(0.38, -0.79, 0.32)
(-0.02, -1.2, -0.24)
(-0.81, -1.36, 1.01)
(-1.09, -0.74, -0.48)
(-1.1400000000000001, -0.62, -0.6)
(-1.36, 0.52, 0.09)
(-0.55, -0.06, -1.1500000000000001)
(-0.03, -0.12, -0.8)
(0.2, -0.54, 0.45)
(0.72, -0.9400000000000001, 0.55)
(1.09, -1.36, -1.05)
(1.01, -0.73, 0.2)
(0.48, -0.48, 0.8300000000000001)
(-0.05, 0.04, -0.5)
(-0.17, 0.04, -0.39)
(-0.04, -0.18, -0.58)
(-0.04, -0.17, -0.34)
(-0.12, 0.03, -0.63)
(-0.07, -0.14, -0.44)
(0.04, 0.0, -0.34)
(-0.14, -0.13, -0.27)
(0.01, -0.01, -0.35000000000000003)
(0.0, -0.06, -0.29)
(-0.01, -0.22, -0.4)
(0.01, -0.11, -0.28)
(0.09, 0.19, -0.6900000000000001)
(0.08, 0.63, -0.5)
(0.35000000000000003, 1.1400000000000001, -0.81)
(0.48, 1.16, -0.4)
(0.78, 0.74, 0.22)
(1.36, -0.87, 1.74)
(1.53, -1.6400000000000001, 1.23)
(0.62, -2.93, -0.43)
(-0.49, -3.45, 2.0100000000000002)
(-1.5, -2.72, 0.45)
(-1.7, -2.7, 0.84)
(-2.24, -1.56, -0.65)
(-2.67, -0.87, -0.62)
(-2.11, -0.3, -2.12)
(-1.56, 1.3, -1.05)
(0.05, 2.2600000000000002, -0.55)
(0.86, 2.73, -0.06)
(0.5, 3.14, 1.1500000000000001)
(-0.07, 2.7, 0.62)
(-0.51, 1.81, -1.31)
(-1.07, 1.06, -1.12)
(-1.6500000000000001, 0.2, -0.66)
(-1.83, -0.71, 0.01)
(-1.92, -1.2, -1.0)
(-2.0100000000000002, -1.9000000000000001, -1.17)
(-1.84, -2.0300000000000002, 0.45)
(-1.36, -2.71, -0.58)
(-0.8, -3.44, -0.03)
(-0.16, -2.73, -0.36)
(1.3, -4.03, -0.06)
(0.6, -3.0, 1.09)
(-0.11, -0.96, -1.1400000000000001)
(0.28, -0.22, 0.52)
(1.02, 1.18, -1.12)
(1.1400000000000001, 2.46, 0.8)
(-0.17, 2.77, -0.03)
(-0.96, 1.97, 0.01)
(-1.94, 1.69, -0.13)
(-1.06, 0.04, -2.06)
(-0.49, -1.3900000000000001, -0.8300000000000001)
(-0.22, -2.64, 0.15)
(0.85, -3.69, 0.1)
(0.19, -2.54, -0.63)
(-0.4, -1.04, -0.25)
(-1.06, 0.21, -0.27)
(-1.55, 1.06, -0.5)
(-1.3, 1.32, -1.17)
(-0.31, 0.28, -1.32)
(0.93, 0.2, 0.48)
(2.5100000000000002, -0.33, 0.23)
(2.87, -0.01, 1.67)
(1.71, 0.13, -0.49)
(0.18, 0.2, -0.41000000000000003)
(-1.03, -0.06, 0.18)
(-1.48, -0.09, -1.05)
(-0.97, -0.2, -1.04)
(-0.63, 0.07, -0.32)
(-0.06, 0.35000000000000003, -0.24)
(0.17, 0.45, 0.25)
(0.48, 0.51, -0.08)
(0.47000000000000003, -0.18, 0.19)
(0.33, -0.6900000000000001, -0.91)
(0.39, -1.57, -0.49)
(0.15, -1.78, 0.22)
(0.12, -1.37, -0.13)
(0.27, -1.05, -0.08)
(0.05, -0.62, -0.45)
(0.07, -0.35000000000000003, -0.78)
(0.12, 0.0, -0.21)
(0.04, -0.36, -0.18)
(0.06, -0.3, -0.39)
(0.03, -0.24, -0.3)
(0.08, -0.2, -0.43)
(0.02, -0.25, -0.07)
(0.01, -0.29, -0.3)
(0.02, -0.11, -0.37)
(-0.01, -0.23, -0.22)
(0.0, -0.25, -0.03)
(-0.03, -0.16, -0.4)
(-0.1, -0.44, -0.35000000000000003)
(-0.04, -0.1, -0.32)
(0.0, -0.24, -0.67)
(0.14, 0.0, -0.67)
(0.15, -0.08, 0.0)
(0.72, 0.07, -0.85)
(1.51, -0.13, -0.48)
(1.87, -0.26, 1.56)
(1.99, -0.34, -0.28)
(1.5, -0.84, -2.3000000000000003)
(0.6, -0.28, 0.15)
(-1.3800000000000001, 0.09, -0.22)
(-2.5100000000000002, -0.32, -1.56)
(-2.15, -0.66, 0.18)
(-2.11, -0.23, -0.13)
(-1.9000000000000001, 0.47000000000000003, -0.41000000000000003)
(-1.54, -0.16, -0.96)
(-2.43, -0.79, -0.04)
(-2.25, -0.41000000000000003, -1.22)
(-1.05, -0.79, -1.79)
(0.24, -0.6900000000000001, -2.07)
(1.04, 0.05, 1.36)
(1.7, -0.56, -0.13)
(1.97, -0.17, -3.02)
(1.49, -0.01, -0.44)
(0.79, 0.0, 0.01)
(0.23, 0.22, 1.0)
(-0.07, 0.08, -0.41000000000000003)
(-0.04, -0.2, -0.24)
(0.05, -0.22, -0.91)
(-0.15, 0.28, -1.24)
(-0.02, -0.24, 0.06)
(0.02, -0.16, 0.25)
(-0.05, -0.06, 0.15)
(0.03, -0.1, 0.04)
(0.0, -0.22, -0.56)
(0.01, -0.1, -0.45)
(-0.03, -0.25, -0.56)
(-0.02, -0.18, -0.56)
(-0.05, -0.01, -0.71)
(0.04, -0.2, -0.49)
(0.03, -0.29, 0.2)
(0.01, -0.25, 0.46)
(0.0, -0.23, 0.2)
(0.02, -0.12, -0.42)
(-0.02, -0.08, -0.66)
(-0.1, -0.21, -0.65)
(-0.01, -0.23, -0.67)
(-0.03, -0.1, -0.26)
(0.24, -0.07, -0.11)
(0.72, 0.11, -0.6900000000000001)
(1.71, 0.03, 0.22)
(1.8, 0.0, 2.74)
(1.9000000000000001, 0.09, -0.81)
(1.1400000000000001, 0.04, -3.93)
(0.09, -0.31, -0.89)
(-1.25, 0.36, -0.67)
(-2.15, -0.47000000000000003, -0.2)
(-2.68, -0.22, 0.04)
(-2.23, -0.47000000000000003, -0.45)
(-2.21, 0.03, 0.76)
(-1.82, -0.39, -0.33)
(-2.63, 0.42, -0.09)
(-1.81, 0.54, -0.59)
(-0.66, 0.35000000000000003, -0.47000000000000003)
(0.4, -0.5, -1.31)
(1.02, -1.25, -0.15)
(1.68, -0.55, 0.2)
(1.99, 0.16, -0.79)
(1.58, 0.1, -0.21)
(0.87, -0.5, -0.74)
(-0.14, -0.18, 0.21)
(-0.28, -0.14, -0.74)
(-0.27, -0.11, -0.85)
(-0.08, -0.16, -0.29)
(-0.12, -0.22, -0.16)
(-0.16, -0.01, -0.2)
(-0.17, -0.18, -0.5700000000000001)
(-0.18, -0.15, -0.38)
(-0.12, -0.13, -0.5)
(-0.08, -0.25, -0.8)
(-0.19, 0.25, 0.42)
(-0.06, -0.03, -0.5700000000000001)
(-0.14, -0.15, -0.35000000000000003)
(-0.1, -0.24, -0.37)
(-0.05, -0.25, -0.13)
(-0.18, -0.27, 0.46)
(-0.06, -0.11, -0.39)
(-0.09, -0.13, -0.5700000000000001)
(-0.07, -0.25, -0.23)
(-0.1, -0.23, -0.17)
(-0.08, -0.28, -0.37)
(0.0, -0.09, -0.54)
(-0.08, 0.0, -0.4)
(-0.27, 0.2, -0.17)
(-0.35000000000000003, 0.55, -0.31)
(-0.18, 1.46, -0.6900000000000001)
(0.14, 1.72, -0.63)
(0.76, 1.82, -0.12)
(1.1300000000000001, 0.56, 1.03)
(1.44, -1.33, 0.04)
(1.34, -2.71, 1.73)
(0.8300000000000001, -2.46, 1.1500000000000001)
(-0.51, -3.11, -0.48)
(-1.55, -2.68, 0.27)
(-2.11, -1.99, 0.58)
(-2.34, -1.43, -0.3)
